"longitude","latitude","type","url","record","observation_type","scientific_name","country","state_province","begin_date","end_date","source","remote_resource","locality","coordinate_uncertainty_in_meters","recorded_by","last_modified"
-122.0719,37.9792,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A190510/","UCMP:V:190510","fossil","Ursus americanus","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V190510&one=T","Pacheco 2","1000","None","2014-10-14T19:03:30.202375"
-117.7156,33.8728,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A008407/","LACM:Mammals:008407","specimen","Ursus americanus californiensis","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","Santa Ana Canyon; Clark Ranch","7286","Jeffries, N *; Stager, K E","2014-05-29T15:17:01.594729"
-118.961,34.6677,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A008478/","LACM:Mammals:008478","specimen","Ursus americanus californiensis","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","Alamo Mts","3109","Howes, W D","2014-05-29T15:17:03.811607"
-119.0006,37.6309,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A009212/","LACM:Mammals:009212","specimen","Ursus americanus californiensis","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","Mammoth Lakes","4023","California Fish & Game Commission; Reeder, W G","2014-05-29T15:17:28.064612"
-160.0417,70.6364,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A030324/","LACM:Mammals:030324","specimen","Ursus maritimus","United States","Alaska",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","Wainwright","1996","Colorado Museum of Natural History; CMNH","2014-05-29T15:28:25.951234"
-165.409,64.5003,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A051116/","LACM:Mammals:051116","specimen","Ursus maritimus","United States","Alaska",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","Nome","964","Brandler, W","2014-05-29T15:39:10.470057"
-118.9185,34.4021,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A072166/","LACM:Mammals:072166","specimen","Ursus americanus californiensis","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","Fillmore","1905","Nash, G; Ailanjian, M/Northern, J R","2014-05-29T15:50:12.334195"
-74.2426,43.3037,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A072223/","LACM:Mammals:072223","specimen","Ursus americanus","United States","New York",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","Hope","1609","None","2014-05-29T15:50:13.089612"
-119.0547,34.4688,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A086009/","LACM:Mammals:086009","specimen","Ursus americanus","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","Santa Paula Canyon; off Hwy 150, between Santa Paula and Ojai, near St. Thomas Aquinas College","5382","California Fish & Game; Gardner, M","2014-05-29T15:57:39.681893"
NA,NA,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A092307/","LACM:Mammals:092307","specimen","Ursus americanus americanus","United States","Pennsylvania",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","",NA,"Hoy, N D","2014-05-29T16:00:59.608559"
NA,NA,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A092319/","LACM:Mammals:092319","specimen","Ursus americanus amblyceps","United States","Colorado",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","",NA,"Hoy, N D","2014-05-29T16:00:59.850656"
-119.2916,34.5077,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A088906/","LACM:Mammals:088906","specimen","Ursus americanus","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","near Ojai, Wheeler Springs","407","California Fish and Game","2014-05-29T15:59:10.422743"
-154.0037,57.2426,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A088914/","LACM:Mammals:088914","specimen","Ursus arctos","United States","Alaska",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","Kodiak Id; 3 mi SW Karluk Lake; Cascade Creek, on N side of canyon","4023","Naibert, D","2014-05-29T15:59:10.726594"
NA,NA,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A092301/","LACM:Mammals:092301","specimen","Ursus americanus americanus","United States","Pennsylvania",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","",NA,"Hoy, N D","2014-05-29T16:00:59.432145"
NA,NA,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A092302/","LACM:Mammals:092302","specimen","Ursus americanus americanus","United States","Pennsylvania",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","",NA,"Hoy, N D","2014-05-29T16:00:59.457446"
NA,NA,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A092303/","LACM:Mammals:092303","specimen","Ursus americanus americanus","United States","Pennsylvania",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","",NA,"Hoy, N D","2014-05-29T16:00:59.481482"
NA,NA,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A092304/","LACM:Mammals:092304","specimen","Ursus americanus americanus","United States","Pennsylvania",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","",NA,"Hoy, N D","2014-05-29T16:00:59.505693"
NA,NA,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A092306/","LACM:Mammals:092306","specimen","Ursus americanus americanus","United States","Pennsylvania",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","",NA,"Hoy, N D","2014-05-29T16:00:59.574743"
NA,NA,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A092305/","LACM:Mammals:092305","specimen","Ursus americanus americanus","United States","Pennsylvania",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","",NA,"Hoy, N D","2014-05-29T16:00:59.531977"
NA,NA,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A092310/","LACM:Mammals:092310","specimen","Ursus arctos","United States","Alaska",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","Alaska Penin",NA,"Hoy, N D","2014-05-29T16:00:59.663039"
NA,NA,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A092313/","LACM:Mammals:092313","specimen","Ursus maritimus","United States","Alaska",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","",NA,"Hoy, N D","2014-05-29T16:00:59.701626"
NA,NA,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A092299/","LACM:Mammals:092299","specimen","Ursus americanus americanus","United States","Pennsylvania",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","",NA,"Hoy, N D","2014-05-29T16:00:59.380786"
NA,NA,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A092315/","LACM:Mammals:092315","specimen","Ursus maritimus","United States","Alaska",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","Point Lay",NA,"Hoy, N D","2014-05-29T16:00:59.739355"
NA,NA,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A096717/","LACM:Mammals:096717","specimen","Ursus americanus altifrontalis","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","",NA,"Cox, C","2014-05-29T16:03:10.172790"
NA,NA,"Feature","https://ecoengine.berkeley.edu/api/observations/LACM%3AMammals%3A097430/","LACM:Mammals:097430","specimen","Ursus maritimus","United States","Alaska",NA,NA,"https://ecoengine.berkeley.edu/api/sources/2/","","Barrow, 110 mi N",NA,"Durham, F E","2014-05-29T16:03:35.295028"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3085/","UCMP:V:3085","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3085&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:45.539106"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3088/","UCMP:V:3088","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3088&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:45.614824"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3092/","UCMP:V:3092","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3092&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:45.750101"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3094/","UCMP:V:3094","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3094&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:45.800252"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3099/","UCMP:V:3099","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3099&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:45.925722"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3124/","UCMP:V:3124","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3124&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:46.698283"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3130/","UCMP:V:3130","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3130&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:46.976717"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3133/","UCMP:V:3133","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3133&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:47.039912"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3164/","UCMP:V:3164","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3164&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:47.766726"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3193/","UCMP:V:3193","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3193&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:48.464779"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3194/","UCMP:V:3194","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3194&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:48.490109"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3268/","UCMP:V:3268","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3268&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:49.634942"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3270/","UCMP:V:3270","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3270&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:49.659293"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3275/","UCMP:V:3275","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3275&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:49.684315"
