Year,PlantID,InflNo,Length,Forest,Chaparral,Seeds
2010,1,5,22,59,7.45,39
2010,4,6,21,42,17.87,57
2010,7,4,21,36,22.55,49
2010,8,1,13,36,23.72,22
2010,11,5,25,44,26.67,90
2010,13,2,11,48,30.67,6
2010,19,1,16,33.5,36.82,11
2010,22,3,15,35,42,14
2010,26,1,13,29,48.5,5
2010,29,15,32,28.5,49.5,161
2010,45,1,14,28.5,8.95,8
2010,48,1,16,19.5,17.5,16
2010,56,13,29,14,11.5,186
2010,62,2,17,12.5,15.5,14
2010,63,2,23,12.5,15.5,56
2010,74,2,19,28,25,35
2010,83,3,16,20,26,18
2010,84,1,13,20.5,24.5,16
2010,85,1,10,21,23.5,8
2010,89,4,28,23,24,59
2010,92,5,23,25,22,69
2010,93,2,17,23,23,16
2010,100,2,17,39,11.5,37
2010,103,15,37,40,14.5,326
2010,104,7,23,40.5,15,37
2010,105,3,24,41.5,14.5,57
2010,109,8,27,48,12.5,262
2010,110,5,24,47.5,10,68
2010,112,21,30,50.5,6.61,285
2010,113,1,16,45.5,6.03,4
2010,116,3,25,0.01,125,29
2010,119,1,15,0.01,120,10
2010,121,3,21,0.01,145,34
2010,131,1,17,0.01,8.9,12
2010,132,1,19,0.01,13.42,8
2010,134,1,15,0.01,13.2,8
2010,136,1,14,0.01,17.25,2
2010,138,2,20,0.01,18.3,21
2010,139,6,20,0.01,19,32
2010,140,3,19,0.01,11,44
2010,142,1,13,0.01,11.5,8
2011,E-01,17,31,3.708369,2.450089,271
2011,E-04,6,26,18.298901,17.153099,80
2011,E-05,1,15,30.1084,31.613,18
2011,E-10,3,15,31.8402,43.5522,23
2011,E-11,1,16,30.0258,41.823001,24
2011,E-13,4,22,24.9498,33.692199,50
2011,E-14,6,21,16.696199,24.9437,81
2011,E-18,3,18,9.93863,17.8712,45
2011,E-22,5,25,0.01,24.080099,57
2011,E-23,1,18,0.01,21.7191,16
2011,E-25,11,36,19.553199,14.077099,187
2011,E-26,7,24,20.744899,14.750699,124
2011,E-27,4,24,22.7352,14.104599,19
2011,E-31,9,31,27.6727,9.368249,167
2011,E-32,1,16,30.0303,7.02498,12
2011,E-33,2,18,0.01,97.310798,18
2011,E-34,2,22,0.01,93.983901,27
